latitude,longitude
30.559932,104.263398
30.559937,104.263486
30.560079,104.263369
30.560095,104.26372
30.560114,104.264811
30.56018,104.266338
30.560257,104.262734
30.560297,104.26639
30.560367,104.26649
30.561021,104.26102
30.561196,104.260249
30.561659,104.258609
30.562134,104.257551
30.562494,104.256215
30.562547,104.25552
30.562572,104.255419
30.562817,104.255152
30.563709,104.251585
30.563772,104.251859
30.563774,104.251837
30.564658,104.247799
30.564686,104.248271
30.564838,104.247604
30.564894,104.247309
30.565608,104.244659
30.565779,104.243377
30.566044,104.242987
30.566088,104.242782
30.566636,104.240486
30.566983,104.238791
30.567375,104.237148
30.567438,104.236855
30.567745,104.236238
30.568314,104.234128
30.568362,104.23395
30.568657,104.23209
30.569312,104.2302
30.569496,104.228876
30.570495,104.22573
30.57056,104.226002
30.570698,104.225728
30.571065,104.225188
30.571273,104.224467
30.573116,104.22221
30.573593,104.220698
30.574981,104.217643
30.575367,104.215784
30.575968,104.213323
30.57598,104.213275
30.576244,104.212798
30.576857,104.210486
30.577112,104.209081
30.577115,104.209636
30.57803,104.206214
30.57803,104.206216
30.578427,104.205395
30.578453,104.20482
30.579989,104.199642
30.580026,104.200096
30.580886,104.196695
30.580893,104.196655
30.581451,104.195397
30.581623,104.19485
30.581721,104.193857
30.581908,104.193947
30.582767,104.19099
30.583435,104.190047
30.584123,104.188242
30.584949,104.18728
30.584958,104.187275
30.585909,104.185478
30.586101,104.185603
30.586807,104.184259
30.588801,104.181701
30.589222,104.18079
30.591597,104.177849
30.592078,104.176801
30.59402,104.174155
30.594604,104.173731
30.594657,104.093976
30.594741,104.080159
30.594799,104.095707
30.595168,104.080873
30.595329,104.095469
30.595395,104.095484
30.595415,104.078424
30.595488,104.090307
30.595811,104.172061
30.595996,104.087929
30.596012,104.08765
30.596215,104.095614
30.596241,104.17111
30.596484,104.085584
30.596573,104.078455
30.596586,104.170948
30.596678,104.078433
30.596718,104.087017
30.596831,104.081142
30.596963,104.066854
30.596986,104.081085
30.597116,104.067338
30.597182,104.095359
30.597377,104.081591
30.597391,104.095346
30.597419,104.083753
30.597475,104.07933
30.59748,104.07833
30.597545,104.066338
30.597621,104.168844
30.597635,104.078637
30.59773,104.076809
30.597803,104.066523
30.597925,104.066851
30.597954,104.071612
30.59811,104.078402
30.598131,104.071851
30.598198,104.065466
30.598346,104.059008
30.598355,104.052467
30.598362,104.167896
30.598384,104.167552
30.598385,104.167554
30.598753,104.04743
30.598861,104.088134
30.599141,104.094656
30.599899,104.094584
30.600069,104.164448
30.600138,104.042017
30.600353,104.06747
30.600695,104.163723
30.600887,104.040569
30.60095,104.088702
30.601443,104.162466
30.601448,104.162456
30.60206,104.161124
30.602075,104.09496
30.602582,104.160771
30.602938,104.095189
30.602943,104.097719
30.603004,104.08881
30.603037,104.095087
30.603228,104.092095
30.603252,104.097971
30.603276,104.095089
30.603424,104.089067
30.603834,104.035698
30.604898,104.15786
30.604936,104.095257
30.604982,104.157479
30.605154,104.067401
30.606296,104.098441
30.606509,104.030685
30.606604,104.154708
30.606607,104.154705
30.607057,104.154284
30.607303,104.098926
30.60772,104.094997
30.607774,104.152321
30.60842,104.150963
30.608664,104.099238
30.609082,104.150156
30.609367,104.025355
30.609482,104.094866
30.609487,104.148462
30.610102,104.067258
30.610539,104.145732
30.610666,104.094752
30.610739,104.099311
30.611026,104.099652
30.611044,104.142927
30.611128,104.100179
30.611133,104.107062
30.611161,104.102947
30.611164,104.094764
30.611263,104.094769
30.611381,104.141746
30.612302,104.020164
30.612783,104.107335
30.613045,104.108505
30.613074,104.094332
30.613541,104.138233
30.613855,104.093884
30.613999,104.137783
30.614458,104.109076
30.614519,104.067114
30.615311,104.109485
30.615767,104.092883
30.616022,104.01586
30.616507,104.111454
30.616587,104.111699
30.616618,104.079515
30.616634,104.082361
30.616642,104.134495
30.616649,104.081346
30.616913,104.111368
30.616918,104.067009
30.616966,104.07728
30.617137,104.111184
30.617259,104.077304
30.617309,104.077303
30.617472,104.111708
30.617536,104.083013
30.617886,104.092831
30.617986,104.092831
30.618064,104.129587
30.618082,104.092831
30.618116,104.130204
30.618234,104.066978
30.619128,104.128135
30.619273,104.077301
30.619378,104.06691
30.619449,104.092939
30.619517,104.077315
