latitude,longitude
30.631882,104.036477
30.631884,104.036479
30.631884,104.036479
30.631969,104.004076
30.632019,104.036546
30.63223,104.140905
30.632369,104.11371
30.632369,104.140888
30.632556,104.034831
30.63256,104.141033
30.632747,104.035172
30.632749,104.035192
30.632761,104.035184
30.632765,104.035176
30.632786,104.035187
30.632824,104.035234
30.632897,104.140659
30.632939,104.035244
30.632977,104.035261
30.633162,104.098839
30.63326,104.093599
30.633283,104.093594
30.633332,104.076286
30.633345,104.145396
30.633414,104.138819
30.633448,104.138844
30.63348,104.076157
30.633508,104.007379
30.633536,104.037911
30.633667,104.035999
30.633874,104.13865
30.633917,104.036154
30.634007,104.099175
30.634011,104.138435
30.634021,104.138437
30.634104,104.138652
30.634109,104.037859
30.634132,104.099097
30.634267,104.099362
30.634303,104.098779
30.634338,104.138574
30.634399,104.035593
30.634756,104.010139
30.634942,104.010628
30.635018,104.0973
30.635188,104.097235
30.635247,104.096891
30.63525,104.148251
30.635252,104.148252
30.635256,104.034698
30.635288,104.096965
30.635297,104.148424
30.635307,104.148386
30.635327,104.034721
30.635443,104.110271
30.635574,104.034511
30.635574,104.034511
30.635575,104.034511
30.635575,104.146511
30.635577,104.034511
30.635577,104.034511
30.635577,104.034511
30.635577,104.034513
30.635577,104.034513
30.635577,104.034514
30.635579,104.034502
30.635579,104.034502
30.635579,104.034502
30.635579,104.034502
30.635579,104.034507
30.635579,104.034507
30.635579,104.034507
30.635579,104.034507
30.635579,104.034513
30.635579,104.034514
30.635579,104.034514
30.635579,104.034514
30.635579,104.034518
30.635581,104.034513
30.635581,104.034514
30.635582,104.034507
30.635582,104.034509
30.635582,104.034511
30.635582,104.034511
30.635582,104.034518
30.635582,104.034518
30.635584,104.034518
30.635597,104.034506
30.635597,104.034514
30.635597,104.034514
30.635597,104.034519
30.635597,104.034519
30.635664,104.034646
30.635819,104.034625
30.636005,104.076122
30.636032,104.013326
30.636059,104.031466
30.636062,104.035086
30.636082,104.139196
30.636086,104.145136
30.63609,104.139212
30.636114,104.076117
30.636171,104.076115
30.63628,104.127214
30.636285,104.127163
30.636285,104.127584
30.636287,104.104836
30.636314,104.109318
30.636314,104.10932
30.63633,104.139079
30.636354,104.109283
30.636376,104.092625
30.636399,104.100769
30.636485,104.07604
30.63652,104.076138
30.636527,104.127993
30.636545,104.124996
30.636547,104.125661
30.63656,104.129854
30.636596,104.128537
30.636605,104.139462
30.636635,104.124531
30.636642,104.139459
30.636645,104.124453
30.636645,104.128657
30.636664,104.13123
30.636675,104.138595
30.63672,104.129864
30.636784,104.036229
30.636787,104.135596
30.636835,104.141605
30.636872,104.134147
30.636892,104.036001
30.636905,104.036202
30.636917,104.139209
30.636937,104.036159
30.63694,104.132033
30.63697,104.136557
30.637004,104.133675
30.637028,104.105591
30.637032,104.134641
30.637154,104.101267
30.637242,104.016285
30.637423,104.102347
30.637543,104.017104
30.637755,104.091839
30.637803,104.122501
30.637816,104.101542
30.637929,104.101631
30.637935,104.122249
30.638021,104.0352
30.638106,104.100714
30.638123,104.101784
30.638123,104.101784
30.638166,104.101829
30.638278,104.120894
30.638301,104.035067
30.638388,104.121164
30.638408,104.120713
30.638416,104.035105
30.638429,104.075938
30.638638,104.019005
30.638648,104.035321
30.63865,104.035321
30.638658,104.035323
30.63866,104.035323
30.638675,104.102237
30.63869,104.035353
30.638699,104.106666
30.638774,104.106583
30.6388,104.10657
30.638802,104.099341
30.63882,104.102252
30.638849,104.099569
30.63903,104.10244
30.639155,104.10706
30.63917,104.035796
30.639201,104.075897
30.639228,104.036111
30.639228,104.106155
30.63923,104.106111
30.639253,104.118862
30.63927,104.10607
30.639297,104.106158
30.639375,104.107275
30.639475,104.028083
30.639502,104.020256
30.639531,104.097965
30.639532,104.097961
30.639534,104.097965
30.639534,104.097965
30.639534,104.097965
30.639534,104.097965
30.639534,104.097967
30.639534,104.102774
30.639535,104.033535
30.639535,104.097967
30.639535,104.097967
30.639537,104.097961
30.639547,104.097933
30.63955,104.097968
30.639556,104.097965
30.639556,104.097968
30.639559,104.097968
30.639565,104.09797
30.639567,104.09797
30.639571,104.097918
30.639575,104.09802
30.63958,104.097953
30.639587,104.097956
30.639587,104.098002
30.639597,104.097942
30.639599,104.097983
30.639601,104.097985
30.639602,104.097985
30.639621,104.098
30.639632,104.097928
30.639634,104.09798
30.639634,104.098
30.639636,104.097991
30.639636,104.097993
30.639636,104.097995
30.639639,104.097993
30.639639,104.097995
30.63964,104.097993
30.63964,104.097993
30.63964,104.097995
30.63964,104.097995
30.63964,104.097997
30.639643,104.098041
30.639644,104.097993
30.639645,104.098019
30.639647,104.097993
30.639647,104.097993
30.639647,104.098022
30.639654,104.098019
30.639657,104.098016
30.639659,104.098005
30.63966,104.098016
30.639669,104.098016
30.63967,104.098012
30.639677,104.097993
30.639677,104.098002
30.639677,104.098002
30.639679,104.096627
30.63968,104.098037
30.639682,104.098002
30.639687,104.097982
30.639689,104.097998
30.639696,104.096653
30.6397,104.09788
30.639714,104.096675
30.639719,104.098003
30.63973,104.149062
30.639893,104.117978
30.639922,104.097513
30.639923,104.037108
30.639932,104.096902
30.63994,104.097308
30.639959,104.102976
30.64009,104.103091
